9,13.85,21.07
8.61,13.2,19.95
9.16,13.68,20.72
8.84,13.68,20.65
8.81,14.14,20.83
8.64,13.88,20.52
8.01,12.76,18.73
8.2,12.77,19.03
8.65,13.29,19.98
8.1,12.81,19.31
8.19,12.82,19.4
7.93,12.58,19.41
8.73,13.38,20.17
8.81,13.6,20.3
9.07,14.24,20.99
9.34,14.27,20.89
9.39,14.53,21.16
9.94,14.85,21.86
10.13,15.33,22.31
10.36,15.62,23.24
10.27,15.13,22.34
11.12,16.25,24.05
10.81,15.94,23.47
11.05,15.93,23.66
11.43,16.3,23.95
11.02,15.85,23.15
10.37,14.99,22.14
10.81,15.25,22.15
11.04,15.78,22.73
11.83,16.2,23.55
11.98,16.53,23.93
11.74,16.34,23.35
11.4,15.86,22.65
11.3,16.03,22.99
11.84,16.8,23.8
12.12,17.05,23.81
11.92,16.87,23.52
12.16,17.18,23.7
12.2,17.32,23.77
12.13,17.43,23.99
11.15,16.47,22.73
11.57,16.75,23.23
11.29,16.75,23.09
11.82,17.28,23.7
12.01,17.72,24.52
11.62,17.24,24
11.41,17.08,23.79
12.02,17.6,24.54
12.11,17.53,24.23
12.23,18.14,25.14
13.06,19.03,26.51
12.91,19.03,26.18
13.22,19.73,27.3
13.11,19.19,26.8
13.8,20.14,28.22
13.17,19.71,27.44
13.3,19.75,27.45
12.5,18.61,26.29
12.72,19.11,26.49
12.43,18.8,25.91
13.07,19.68,26.81
13.36,19.8,27.13
13.37,20.44,27.61
13.08,19.93,26.79
13.23,20.3,26.98
13.66,20.98,27.67
13.1,20.72,27.31
13.24,21.36,28.36
13.89,21.89,29.05
14.58,22.29,30.02
14.87,22.43,29.91
14.4,21.34,28.4
14.32,21.88,29.09
14.27,21.57,28.8
14.03,21.56,28.78
14.44,21.87,29.06
14.77,21.8,29.09
15.27,22.16,29.83
15.07,21.82,29.3
14.28,20.91,28.28
14.14,20.7,27.68
13.9,20.23,26.99
14.14,20.26,26.95
14.23,20.56,26.77
13.53,19.35,25.19
13.5,19.45,25.51
13.78,19.92,25.81
14.14,20.48,26.62
14.28,20.46,27.29
14.44,20.73,26.59
14.27,20.3,26.41
14.34,20.61,26.46
13.69,20.14,25.51
13.59,19.73,24.89
13.12,19.18,24.29
13.02,18.75,24.13
13.22,19.12,24.54
13.19,18.91,24.38
13.32,19.41,24.89
13.88,20,25.37
14.69,20.92,26.43
14.82,21.11,26.75
14.75,21.29,27.03
15.28,21.82,27.68
15.19,21.72,27.85
15.16,21.82,27.65
15.5,22.57,28.49
15.45,22.7,28.73
15.69,22.87,28.73
15.76,22.46,28.19
15.5,22.03,27.42
16.08,22.64,28.01
16.4,23.08,28.43
16.91,23.72,29.56
16.9,23.59,29.36
16.73,23.63,29.09
16.85,23.05,28.74
16.94,23,28.77
16.72,22.73,28.67
16.55,22.07,28.15
17,22.4,28.55
17.59,22.74,29.1
17.08,22.5,28.51
16.59,21.65,27.47
16.94,21.98,27.91
17.03,22.21,28.33
16.97,22.39,28.58
16.96,22.81,29.51
17.38,22.83,29.61
17.4,22.95,29.23
17.21,22.8,29.13
17.63,23.07,29.2
17.84,23.03,29.32
17.74,22.66,28.64
17.32,22.05,28.01
17.27,22.07,28.17
17.66,22.72,28.56
18,23.13,29.1
18.59,23.5,29.85
18.66,23.33,29.81
18.94,23.68,30.5
18.9,23.89,30.86
18.79,24.04,31.03
18.79,24.65,31.6
19.79,24.93,32.37
19.5,24.83,32.06
19.52,24.78,31.86
19.29,24.32,31.53
19.68,24.92,32.16
19.64,24.58,31.43
19.26,23.81,30.67
19.47,23.56,30.55
19.83,23.93,31.08
19.93,24.04,31.17
20.07,24.36,31.08
19.25,23.3,29.93
18.91,23.16,29.77
19.34,23.71,30.61
19.83,24.24,31.54
20.1,24.41,31.77
20.95,24.93,32.67
20.84,24.99,32.71
20.91,25.21,33.09
20.9,25.16,33.18
21.62,25.68,33.75
21.79,25.44,34.2
21.51,25.38,34.08
21.84,25.67,34.53
21.58,25.13,34.12
21.56,24.95,34.01
21.88,25.15,34.08
21.62,24.72,33.34
21.28,23.99,32.52
20.99,23.59,32.52
19.93,22.75,31.19
20.39,23.53,32.36
19.4,22.73,30.93
19.75,22.83,31.21
19.6,23.34,31.89
19.78,23.52,31.95
20,23.8,32.47
20.4,23.78,32.44
21.43,24.8,33.45
21.5,24.78,33.43
21.6,24.89,33.43
21.12,24.46,32.63
21.58,24.75,32.91
21.97,24.99,33.77
21.6,25.26,33.76
21.49,25.2,33.57
20.99,24.8,32.86
20.77,24.65,32.5
21.26,25.13,33.02
20.88,24.9,33.07
21.46,25.36,33.6
20.29,24.57,33.19
20.8,24.79,32.71
21.37,25.61,33.32
21.35,25.62,33.33
21.09,25.13,32.27
20.99,24.79,32.26
20.6,24.86,32.11
20.14,24.28,31.32
20.28,24.55,31.62
20.54,24.76,32.03
